frame,timestamp,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
0,0.0,True,0.04075777530670166,0.5262710452079773,0.7495302557945251,0.2812725305557251,1.1833957433700562,0.0,0.01459452509880066,0.5323256403207779,0.9385380744934082,0.04607705399394035,1.3702120184898376,0.45461735129356384,0.3181430995464325,0.0,1.1533193439245224,0.7121162712574005,0.0
1,0.016683183183183185,True,0.027171850204467773,0.6861364046732584,0.9734329779942831,0.42164043585459393,1.3638459046681721,0.0,0.15928047895431519,0.4091452956199646,1.1186848878860474,0.030718035995960236,0.9134746789932251,0.48098010818163556,0.638344387213389,0.0,1.1137320846319199,0.9507993956406912,0.0
2,0.03336636636636637,True,0.0,0.4235266049702962,0.9334685405095419,0.2341254154841105,1.459603746732076,0.0,0.3372981548309326,0.36282167832056683,1.2021125555038452,0.0,1.1279871861139934,0.31785951058069867,0.859865407148997,0.0,0.8816428631544113,0.975980132818222,0.0
3,0.05004954954954955,True,0.19849173227945963,0.5879241625467936,1.1900888284047444,0.2341254154841105,1.7311406135559082,0.0,0.3372981548309326,0.8372005919615427,1.4176688591639202,0.0,1.154152750968933,0.3421700994173686,0.816521406173706,0.0,0.6510972628990809,0.679077684879303,0.0
4,0.06673273273273274,True,0.46802322069803876,0.4253123601277669,1.0865664879480998,0.0,1.7496157089869182,0.0,0.18774735927581787,1.304414967695872,1.309411843617757,0.0,1.5356825788815816,0.41322261095046997,0.39027241865793866,0.0,0.30624474088350934,0.3785017530123393,0.0
5,0.08341591591591592,True,0.6167397896448771,0.40472594896952313,1.4812012513478596,0.0,1.8866211970647175,0.0,0.08798166116078694,1.3971545298894246,1.4546021223068237,0.0,1.3070161938667297,0.41322261095046997,0.14887424310048422,0.0,0.2793390254179637,0.5926565130551656,0.0
6,0.1000990990990991,True,0.6134555339813232,0.5262730518976847,1.5202370484670003,0.0,1.8890938758850098,0.0,0.08798166116078694,1.327960769335429,1.2936557531356812,0.0,2.2347530325253806,0.2547905544439952,0.39071794350941974,0.0,0.4646913508574168,0.5400760372479757,0.0
7,0.11678228228228228,True,0.34392404556274414,0.3535958131154378,1.5606103738149006,0.0,1.7892991304397583,0.0,0.08798166116078694,1.1960359811782837,1.286726713180542,0.10692756374677022,2.5047472516695657,0.005836168924967448,0.6026204029719034,0.0,1.0857422600189846,0.5925514101982117,0.0
8,0.13346546546546548,True,0.19520747661590576,0.285944660504659,0.8671288887659708,0.0,1.4043387373288472,0.0,0.0,1.3033603429794312,0.991012692451477,0.12658105045557022,1.9353855848312378,0.13860266407330832,0.45374615987141925,0.0,1.2712745517492294,0.2279546558856964,0.0
9,0.15014864864864866,True,0.0,0.0,0.47651831309000653,0.0,1.1185759902000427,0.0,0.0,1.2953275044759114,0.9545961618423462,0.21011230101188025,0.7445767323176066,0.2187662422657013,0.21190245946248373,0.0,1.1522643615802128,0.2279546558856964,0.0
10,0.16683183183183184,True,0.0,0.0,0.10338020324707031,0.0,0.9468797445297241,0.0,0.0,1.2539633512496948,0.8545001347859701,0.10318473726511002,0.5441147089004517,0.2187662422657013,0.0,0.0,0.7988837212324142,0.0,0.0
11,0.18351501501501502,True,0.0,0.0,0.19752363363901773,0.01848280429840088,0.9520853757858276,0.0,0.0,1.2135080893834431,0.983880360921224,0.08353125055631001,0.9607240557670593,0.135410209496816,0.0,0.0,0.6153469135363897,0.0,0.0
12,0.2001981981981982,True,0.0,0.0,0.15936831633249918,0.01848280429840088,0.9317492445309957,0.0,0.0,1.0632488926251729,0.9970340331395467,0.0,0.8676713705062866,0.06622624397277832,0.0,0.0,0.510428453485171,0.1636855105559031,0.09144477049509685
13,0.21688138138138138,True,0.1795276403427124,0.0,0.1329468091328939,0.01848280429840088,0.9708132346471151,0.0,0.0,0.9669259389241537,1.1168124278386433,0.0,0.41660934686660767,0.1463811198870341,0.0,0.02595996856689453,0.26386283338069916,0.5073301593462626,0.1403747002283732
14,0.23356456456456456,True,0.1795276403427124,0.0,0.22438283761342367,0.0,0.963529109954834,0.0,0.019551316897074383,0.874056895573934,1.0387490193049114,0.0,0.0,0.3100038667519887,0.0,0.02595996856689453,0.11656996111075084,0.6445521215597788,0.3565772771835327
15,0.2502477477477478,True,0.36371390024820965,0.1066204309463501,0.5733048915863037,0.010119140148162842,1.1991207003593445,0.0,0.02107316255569458,1.0257898370424907,0.9569514592488607,0.0,0.045474996169408165,0.7113668521245321,0.0,0.02595996856689453,0.036667595307032265,0.7717958788077036,0.26513250668843585
16,0.26693093093093095,True,0.18418625990549722,0.1066204309463501,0.7803016304969788,0.21012558539708456,1.2927420337994893,0.0,0.045918166637420654,1.282373309135437,0.9477270444234213,0.0,0.19064812858899435,0.6773812969525655,0.0,0.0,0.07910530765851338,0.4281512300173442,0.21620257695515951
17,0.28361411411411414,True,0.18418625990549722,0.1066204309463501,0.8989776571591696,0.2798709273338318,1.4226309458414714,0.0,0.06148149569829305,1.4393353462219238,1.0261599222819011,0.0,0.19064812858899435,0.46434808770815533,0.06701471408208211,0.0,0.36224833130836487,0.40744735797246295,0.0
18,0.3002972972972973,True,0.0,0.0,0.7498172720273336,0.26975178718566895,1.363344629605611,0.0,0.07438067595163982,1.255449930826823,1.1267544031143188,0.016338941951592762,0.14517313241958618,0.19903199871381125,0.07366180419921875,0.0,0.46937555571397144,0.36624672015508014,0.2159271240234375
19,0.3169804804804805,True,0.0,0.0,0.7473131219546,0.06974534193674724,1.3599882125854492,0.0,0.049535671869913735,1.158350984255473,1.133499264717102,0.08602423220872879,0.0,0.3493252793947856,0.07366180419921875,0.0,0.5126463025808334,0.503499835729599,0.271387775739034
20,0.3336636636636637,True,0.12166814009348552,0.0,0.46027612686157227,0.0,1.3134973843892415,0.0,0.014421025911966959,1.0836309989293416,0.8280461629231771,0.08602423220872879,0.0,0.48984164992968243,0.006647090117136638,0.0,0.2955242643753688,0.5722382565339407,0.40379806359608966
21,0.35034684684684686,True,0.15242203076680502,0.0,0.5193081100781759,0.0,1.2670756181081135,0.0,0.0,1.0103014310201008,1.0124977032343547,0.06968529025713603,0.06735080480575562,0.5682193338871002,0.0,0.0,0.18839703996976218,0.461929053068161,0.1878709395726522
22,0.36703003003003004,True,0.28200562795003253,0.0,0.42003170649210614,0.0,1.197257439295451,0.0,0.0,0.9880452553431193,0.8661123514175415,0.0,0.06735080480575562,0.503334234158198,0.0,0.0,0.2641530732313792,0.5568901399771372,0.29843159516652423
23,0.3837132132132132,True,0.17010116577148438,0.0,0.37504734595616657,0.0,1.2522363662719727,0.0,0.0,0.9113879005114237,1.2403354247411091,0.0,0.06735080480575562,0.5090334713459015,0.0,0.05797825256983439,0.1825691411892573,0.3716336290041606,0.42101335525512695
24,0.4003963963963964,True,0.13934727509816489,0.0,0.26373610893885296,0.0,1.1304495533307393,0.0,0.0,1.2724584937095642,1.1275296608606975,0.0033037935694058738,0.0,0.27779310941696167,0.0,0.05797825256983439,0.5113824109236399,0.23221420248349509,0.42101335525512695
25,0.4170795795795796,True,0.009763677914937338,0.0,0.24411974350611368,0.0,1.0694750150044758,0.0,0.07922772566477458,1.3987852931022644,1.2197293837865193,0.048579491674900055,0.0,0.1462156077226003,0.07930401961008708,0.05797825256983439,0.5463208655516306,0.0,0.2549920479456584
26,0.43376276276276277,True,0.005346139272054036,0.0,0.31181126832962036,0.0,1.0102191766103108,0.0,0.07922772566477458,1.3036823471387227,1.1004018386205037,0.048579491674900055,0.0,0.2408261001110077,0.0992164413134257,0.0,0.662903850277265,0.26977681120236713,0.11518224080403645
27,0.45044594594594595,True,0.16104106108347574,0.29455745220184326,0.7012760639190674,0.0,1.3061243891716003,0.0,0.2612469991048177,1.1125102241834004,1.0552571614583333,0.04527569810549418,0.0,0.2408261001110077,0.27639474471410114,0.0,0.5557506332794825,0.48849127689997357,0.11518224080403645
