frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
1,0,0.000,0.98,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.25,0.36,0.22,0.06,0.00,0.00,0.07,0.17,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0,0.017,0.98,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.23,0.46,0.15,0.12,0.00,0.02,0.16,0.10,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,0,0.033,0.98,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.22,0.49,0.15,0.11,0.00,0.02,0.26,0.06,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,0,0.050,0.98,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.24,0.54,0.08,0.05,0.00,0.00,0.30,0.04,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,0,0.067,0.98,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.20,0.48,0.08,0.05,0.00,0.00,0.22,0.02,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,0,0.083,0.98,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.19,0.48,0.01,0.08,0.00,0.00,0.12,0.01,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,0,0.100,0.98,1,0.01,0.03,0.00,0.00,0.00,0.00,0.00,0.09,0.17,0.43,0.00,0.09,0.00,0.02,0.05,0.01,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,0,0.117,0.98,1,0.01,0.08,0.00,0.00,0.00,0.00,0.00,0.11,0.21,0.44,0.00,0.05,0.00,0.03,0.04,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,0,0.133,0.98,1,0.01,0.08,0.00,0.00,0.00,0.00,0.00,0.09,0.21,0.49,0.00,0.06,0.00,0.05,0.01,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10,0,0.150,0.98,1,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.07,0.21,0.50,0.00,0.08,0.00,0.04,0.01,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,0,0.167,0.98,1,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.20,0.50,0.00,0.10,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12,0,0.184,0.98,1,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.21,0.51,0.00,0.08,0.00,0.03,0.01,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13,0,0.200,0.98,1,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.21,0.56,0.00,0.07,0.00,0.02,0.01,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,0,0.217,0.98,1,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.19,0.62,0.00,0.09,0.00,0.03,0.03,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15,0,0.234,0.98,1,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.20,0.61,0.00,0.06,0.00,0.03,0.02,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16,0,0.250,0.98,1,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.20,0.59,0.00,0.06,0.00,0.03,0.02,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17,0,0.267,0.98,1,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.24,0.61,0.00,0.04,0.00,0.03,0.01,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18,0,0.284,0.98,1,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.24,0.59,0.00,0.05,0.00,0.03,0.03,0.00,0.02,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19,0,0.300,0.98,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.22,0.66,0.00,0.11,0.00,0.04,0.04,0.00,0.02,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20,0,0.317,0.98,1,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.21,0.63,0.00,0.13,0.00,0.06,0.03,0.01,0.02,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21,0,0.334,0.98,1,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.22,0.66,0.00,0.13,0.00,0.07,0.02,0.01,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22,0,0.350,0.98,1,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.27,0.64,0.00,0.12,0.00,0.06,0.02,0.01,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23,0,0.367,0.98,1,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.27,0.71,0.00,0.14,0.00,0.04,0.02,0.01,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24,0,0.384,0.98,1,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.30,0.72,0.00,0.21,0.00,0.04,0.00,0.01,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
25,0,0.400,0.98,1,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.29,0.71,0.00,0.23,0.00,0.05,0.00,0.01,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
26,0,0.417,0.98,1,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.29,0.66,0.00,0.20,0.00,0.05,0.00,0.01,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
27,0,0.434,0.98,1,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.27,0.67,0.02,0.17,0.00,0.05,0.00,0.01,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
28,0,0.450,0.98,1,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.25,0.65,0.02,0.18,0.00,0.04,0.00,0.04,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
29,0,0.467,0.98,1,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.25,0.64,0.02,0.20,0.00,0.03,0.04,0.05,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
30,0,0.484,0.98,1,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.26,0.60,0.01,0.14,0.00,0.01,0.06,0.05,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
31,0,0.500,0.98,1,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.26,0.58,0.02,0.10,0.00,0.01,0.07,0.01,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
32,0,0.517,0.98,1,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.26,0.55,0.02,0.06,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33,0,0.534,0.98,1,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.24,0.58,0.02,0.12,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
34,0,0.551,0.98,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.25,0.66,0.05,0.16,0.00,0.02,0.05,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
35,0,0.567,0.98,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.23,0.69,0.07,0.20,0.00,0.04,0.02,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
36,0,0.584,0.98,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.22,0.69,0.06,0.18,0.00,0.07,0.02,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
37,0,0.601,0.98,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.22,0.67,0.03,0.21,0.00,0.06,0.03,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
38,0,0.617,0.98,1,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.23,0.65,0.01,0.25,0.00,0.06,0.04,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
39,0,0.634,0.98,1,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.23,0.68,0.01,0.28,0.00,0.04,0.07,0.03,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
40,0,0.651,0.98,1,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.21,0.70,0.01,0.20,0.00,0.05,0.10,0.09,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
41,0,0.667,0.98,1,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.17,0.22,0.71,0.00,0.14,0.00,0.05,0.10,0.09,0.01,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
42,0,0.684,0.98,1,0.15,0.14,0.00,0.00,0.00,0.00,0.00,0.11,0.22,0.72,0.00,0.07,0.00,0.03,0.11,0.06,0.03,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43,0,0.701,0.98,1,0.37,0.33,0.00,0.10,0.00,0.00,0.00,0.08,0.26,0.70,0.00,0.08,0.00,0.02,0.06,0.00,0.03,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
44,0,0.717,0.98,1,0.69,0.58,0.00,0.28,0.00,0.00,0.00,0.03,0.26,0.69,0.00,0.07,0.00,0.01,0.05,0.00,0.02,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
45,0,0.734,0.98,1,0.92,0.85,0.00,0.54,0.00,0.00,0.00,0.06,0.32,0.62,0.00,0.11,0.00,0.03,0.01,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
46,0,0.751,0.98,1,1.12,1.09,0.00,0.75,0.00,0.00,0.00,0.03,0.34,0.55,0.00,0.11,0.00,0.02,0.01,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
47,0,0.767,0.98,1,1.30,1.31,0.00,0.95,0.00,0.00,0.00,0.04,0.38,0.55,0.00,0.11,0.00,0.02,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
48,0,0.784,0.98,1,1.43,1.38,0.00,1.01,0.00,0.00,0.00,0.01,0.36,0.57,0.00,0.17,0.00,0.01,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
49,0,0.801,0.98,1,1.51,1.52,0.00,1.06,0.00,0.00,0.00,0.01,0.35,0.56,0.00,0.22,0.00,0.03,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
50,0,0.817,0.98,1,1.47,1.56,0.00,0.97,0.00,0.00,0.00,0.00,0.33,0.49,0.00,0.23,0.00,0.03,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
51,0,0.834,0.98,1,1.49,1.60,0.00,0.97,0.00,0.00,0.00,0.00,0.30,0.42,0.00,0.20,0.00,0.03,0.00,0.04,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
52,0,0.851,0.98,1,1.50,1.54,0.00,0.84,0.00,0.00,0.00,0.00,0.27,0.45,0.00,0.16,0.00,0.01,0.02,0.09,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
53,0,0.868,0.98,1,1.60,1.57,0.00,0.85,0.00,0.00,0.00,0.00,0.27,0.44,0.01,0.15,0.00,0.01,0.04,0.11,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
54,0,0.884,0.98,1,1.64,1.63,0.00,0.86,0.00,0.00,0.00,0.00,0.26,0.45,0.01,0.14,0.00,0.00,0.04,0.09,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
55,0,0.901,0.98,1,1.67,1.61,0.00,0.94,0.00,0.00,0.00,0.00,0.28,0.40,0.01,0.10,0.00,0.00,0.02,0.04,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
56,0,0.918,0.98,1,1.65,1.57,0.00,0.88,0.00,0.00,0.00,0.00,0.28,0.43,0.00,0.11,0.00,0.00,0.00,0.02,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
57,0,0.934,0.98,1,1.66,1.54,0.00,0.86,0.00,0.00,0.00,0.00,0.31,0.47,0.00,0.09,0.00,0.00,0.01,0.01,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
58,0,0.951,0.98,1,1.64,1.52,0.00,0.84,0.00,0.00,0.00,0.00,0.30,0.49,0.00,0.10,0.00,0.00,0.05,0.03,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
59,0,0.968,0.98,1,1.63,1.54,0.00,0.94,0.00,0.00,0.00,0.00,0.28,0.51,0.00,0.05,0.00,0.00,0.07,0.03,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
60,0,0.984,0.98,1,1.60,1.51,0.00,0.92,0.00,0.00,0.00,0.00,0.26,0.52,0.00,0.05,0.00,0.00,0.08,0.04,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
61,0,1.001,0.98,1,1.59,1.55,0.00,0.90,0.00,0.00,0.00,0.00,0.25,0.54,0.00,0.06,0.00,0.00,0.04,0.02,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
62,0,1.018,0.98,1,1.55,1.55,0.00,0.83,0.00,0.00,0.00,0.00,0.22,0.56,0.00,0.12,0.00,0.00,0.01,0.02,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
63,0,1.034,0.98,1,1.57,1.50,0.00,0.80,0.00,0.00,0.00,0.00,0.20,0.59,0.00,0.15,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
64,0,1.051,0.98,1,1.55,1.47,0.00,0.73,0.00,0.00,0.00,0.00,0.16,0.62,0.02,0.17,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
65,0,1.068,0.98,1,1.54,1.39,0.00,0.67,0.00,0.00,0.00,0.00,0.15,0.64,0.02,0.11,0.00,0.00,0.02,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
66,0,1.084,0.98,1,1.48,1.36,0.00,0.64,0.00,0.00,0.00,0.00,0.15,0.63,0.02,0.08,0.00,0.00,0.07,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
67,0,1.101,0.98,1,1.45,1.34,0.00,0.69,0.00,0.00,0.00,0.00,0.18,0.62,0.00,0.05,0.00,0.00,0.10,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
68,0,1.118,0.98,1,1.40,1.38,0.00,0.72,0.00,0.00,0.00,0.00,0.20,0.61,0.00,0.08,0.00,0.00,0.09,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
69,0,1.134,0.98,1,1.34,1.37,0.00,0.74,0.00,0.00,0.00,0.00,0.21,0.56,0.00,0.05,0.00,0.00,0.06,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
70,0,1.151,0.98,1,1.31,1.33,0.00,0.65,0.00,0.00,0.00,0.00,0.20,0.52,0.02,0.03,0.00,0.00,0.03,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
71,0,1.168,0.98,1,1.33,1.30,0.00,0.57,0.00,0.00,0.00,0.00,0.21,0.47,0.02,0.00,0.00,0.00,0.01,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
72,0,1.185,0.98,1,1.35,1.27,0.00,0.50,0.00,0.00,0.00,0.00,0.21,0.42,0.02,0.03,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
73,0,1.201,0.98,1,1.34,1.22,0.00,0.57,0.00,0.00,0.00,0.00,0.25,0.44,0.00,0.08,0.00,0.01,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
74,0,1.218,0.98,1,1.30,1.20,0.00,0.57,0.00,0.00,0.00,0.00,0.28,0.49,0.00,0.08,0.00,0.01,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
75,0,1.235,0.98,1,1.29,1.19,0.00,0.62,0.00,0.00,0.00,0.00,0.30,0.57,0.00,0.06,0.00,0.01,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
76,0,1.251,0.98,1,1.28,1.18,0.00,0.66,0.00,0.00,0.00,0.00,0.28,0.60,0.00,0.07,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
77,0,1.268,0.98,1,1.25,1.14,0.00,0.78,0.00,0.00,0.00,0.00,0.26,0.59,0.00,0.10,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
78,0,1.285,0.98,1,1.23,1.15,0.00,0.77,0.00,0.00,0.00,0.00,0.26,0.60,0.00,0.12,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
79,0,1.301,0.98,1,1.25,1.14,0.00,0.70,0.00,0.00,0.00,0.00,0.25,0.57,0.00,0.11,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
80,0,1.318,0.98,1,1.28,1.20,0.00,0.64,0.00,0.00,0.00,0.00,0.27,0.54,0.00,0.17,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
81,0,1.335,0.98,1,1.30,1.28,0.00,0.58,0.00,0.00,0.00,0.00,0.27,0.53,0.00,0.20,0.00,0.00,0.00,0.01,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
82,0,1.351,0.98,1,1.27,1.35,0.00,0.54,0.00,0.00,0.00,0.00,0.27,0.54,0.00,0.23,0.00,0.02,0.00,0.01,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
83,0,1.368,0.98,1,1.23,1.33,0.00,0.46,0.00,0.00,0.00,0.00,0.28,0.58,0.00,0.21,0.00,0.02,0.00,0.01,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
84,0,1.385,0.98,1,1.17,1.29,0.00,0.50,0.00,0.00,0.00,0.00,0.30,0.55,0.00,0.22,0.00,0.02,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
85,0,1.401,0.98,1,1.19,1.28,0.00,0.48,0.00,0.00,0.00,0.02,0.33,0.58,0.00,0.19,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
86,0,1.418,0.98,1,1.18,1.28,0.00,0.40,0.00,0.00,0.00,0.02,0.33,0.59,0.00,0.19,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
87,0,1.435,0.98,1,1.18,1.22,0.00,0.43,0.00,0.00,0.00,0.02,0.34,0.59,0.00,0.17,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
88,0,1.451,0.98,1,1.15,1.14,0.00,0.48,0.00,0.00,0.00,0.05,0.32,0.50,0.00,0.16,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
89,0,1.468,0.98,1,1.14,1.06,0.00,0.50,0.00,0.00,0.00,0.05,0.31,0.44,0.00,0.11,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
